make_slug,style_name,occurrences
cadillac,BIARRITZ 2 DR COUPE,1
cadillac,SIXTY SPECIAL,1
chevrolet,ASTRO CARGO,2
chevrolet,ASTRO CARGO VAN,2
chevrolet,ASTRO CARGO VAN AWD,7
chevrolet,ASTRO CARGO VAN EXTENDED BODY,6
chevrolet,ASTRO CARGO VAN RWD,7
chevrolet,ASTRO EXTENDED LENGTH AWD CARGO VAN,1
chevrolet,ASTRO EXTENDED LENGTH BASE CARGO VAN,1
chevrolet,ASTRO EXTENDED LENGTH RWD/AWD WAGON,1
chevrolet,ASTRO RWD/AWD WAGON,1
chevrolet,ASTRO SAFARI,2
chevrolet,ASTRO SAFARI (VAN),1
chevrolet,C-10 LONG BED PICK-UP,2
chevrolet,C-10 SHORT BED PICK-UP,2
chevrolet,C-10 STEPSIDE PICK-UP,2
chevrolet,C-1500,2
chevrolet,C10,1
chevrolet,C1500 2 WD,1
chevrolet,C1500 4 WD,1
chevrolet,C1500 FLEETSIDE P.U. EXT CAB LG BOX,3
chevrolet,C1500 FLEETSIDE P.U. EXT CAB SHT BOX,3
chevrolet,C1500 FLEETSIDE P.U. REG CAB LG BOX,3
chevrolet,C1500 FLEETSIDE P.U. REG CAB SHT BOX,3
chevrolet,C1500 FLEETSIDE PU. EXTENDED CAB,3
chevrolet,C1500 FLEETSIDE PU. LONG WB. REG. CAB,3
chevrolet,C1500 FLEETSIDE PU. SHORT WB. REG. CAB,3
chevrolet,C1500 OR C10,2
chevrolet,C1500 P/U EXT CAB L/BOX F/SIDE,5
chevrolet,C1500 P/U EXT CAB S/BOX F/SIDE,6
chevrolet,C1500 P/U REG CAB L/BOX F/SIDE,5
chevrolet,C1500 P/U REG CAB S/BOX F/SIDE,5
chevrolet,C1500 SPORTSIDE P.U. EXT CAB,2
chevrolet,C1500 SPORTSIDE P.U. REGULAR CAB,3
chevrolet,C1500 SPORTSIDE PU. REGULAR CAB,3
chevrolet,C20,3
chevrolet,C2500 FLEETSIDE P.U. EXT CAB  LG BOX,3
chevrolet,C2500 FLEETSIDE P.U. EXT CAB SHT BX,3
chevrolet,C2500 FLEETSIDE P.U. REG CAB LG BOX,3
chevrolet,C2500 FLEETSIDE PU. EXTENDED CAB,3
chevrolet,C2500 FLEETSIDE PU. LONG WB. REG. CAB,3
chevrolet,C2500 P/U CREW CAB S/BOX,1
chevrolet,C2500 P/U EXT CAB L/BOX,1
chevrolet,C2500 P/U EXT CAB L/BOX F/SIDE,6
chevrolet,C2500 P/U EXT CAB S/BOX F/SIDE,6
chevrolet,C2500 P/U REG CAB L/BOX,1
